@relation saggedV+AngleChange+NegSeq

@attribute ID numeric
@attribute faultId numeric
@attribute subfaultId numeric
@attribute isfaultedbus numeric
@attribute v_sag_1 numeric
@attribute v_sag_2 numeric
@attribute v_sag_3 numeric
@attribute delta_v numeric
@attribute a_change_1 numeric
@attribute a_change_2 numeric
@attribute a_change_3 numeric
@attribute rel_phase_2_1 numeric
@attribute rel_phase_3_1 numeric
@attribute rel_phase_3_2 numeric
@attribute sub_phase_2_1 numeric
@attribute sub_phase_3_1 numeric
@attribute sub_phase_3_2 numeric
@attribute v_ss_1 numeric
@attribute v_ss_2 numeric
@attribute v_ss_3 numeric
@attribute pos_seq numeric
@attribute zero_seq numeric
@attribute neg_seq numeric
@attribute faultvsnofault {fault, nofault}
@attribute groundvsnoground {ground, noground}
@attribute linevsnoline {line, noline}
@attribute phasevsnophase {phase, nophase}
@attribute class {ground, line, phase, nofault}

@data
54, 41, 0, 1, 0.5587, 0.9941, 1.0292, 0.1474, 0.9431, 0.9624, 1.0943, 1.7793, 1.842, 1.0352, 0.4354, 0.4704, 0.035, 239.9283, 238.4603, 238.3826, 204.9, 43.17, 30.61, fault, ground, noline, nophase, ground
55, 26, 0, 0, 0.7281, 0.7478, 0.7606, 0.1471, 0.9906, 0.9987, 1.0107, 1.027, 1.0446, 1.0171, 0.0197, 0.0325, 0.0128, 546.1868, 546.0063, 542.9585, 406.31, 2.04, 7.1, fault, noground, noline, phase, phase
56, 26, 0, 0, 0.7281, 0.7478, 0.7607, 0.1471, 0.9906, 0.9988, 1.0106, 1.0271, 1.0447, 1.0171, 0.0197, 0.0325, 0.0128, 546.2474, 545.6435, 543.6588, 406.43, 2.08, 7.27, fault, noground, noline, phase, phase
57, 22, 0, 1, 0.5735, 1.0271, 1.0599, 0.1438, 0.9312, 1.0111, 1.0582, 1.7908, 1.848, 1.032, 0.4535, 0.4863, 0.0328, 546.6015, 546.1702, 549.4843, 484.61, 109.14, 62.76, fault, ground, noline, nophase, ground
58, 26, 0, 0, 0.7419, 0.7543, 0.7638, 0.1425, 0.9885, 0.9983, 1.0132, 1.0168, 1.0296, 1.0126, 0.0124, 0.0219, 0.0095, 549.3317, 547.1643, 544.6861, 412.07, 1.08, 5.98, fault, noground, noline, phase, phase
59, 26, 0, 0, 0.7419, 0.7543, 0.7639, 0.1425, 0.9885, 0.9983, 1.0133, 1.0168, 1.0296, 1.0126, 0.0125, 0.022, 0.0095, 549.1489, 547.0432, 544.4869, 411.96, 1.09, 5.99, fault, noground, noline, phase, phase
60, 26, 0, 0, 0.7419, 0.7544, 0.7639, 0.1425, 0.9885, 0.9983, 1.0132, 1.0169, 1.0297, 1.0126, 0.0125, 0.022, 0.0095, 549.2069, 547.4812, 546.108, 412.52, 0.41, 6.04, fault, noground, noline, phase, phase
61, 26, 0, 0, 0.7419, 0.7544, 0.7639, 0.1425, 0.9885, 0.9983, 1.0132, 1.0168, 1.0296, 1.0126, 0.0125, 0.022, 0.0095, 549.3175, 547.1366, 546.2684, 412.52, 0.58, 6.2, fault, noground, noline, phase, phase
62, 27, 0, 0, 0.7359, 0.7608, 0.7644, 0.1424, 0.9934, 1.0031, 1.0035, 1.0338, 1.0388, 1.0048, 0.0249, 0.0285, 0.0036, 542.6728, 539.5854, 542.8224, 408.25, 4.12, 5.61, fault, noground, noline, phase, phase
63, 27, 0, 0, 0.736, 0.7608, 0.7644, 0.1424, 0.9934, 1.0031, 1.0034, 1.0337, 1.0386, 1.0047, 0.0248, 0.0284, 0.0036, 542.3182, 540.2749, 542.8776, 408.37, 4.14, 5.83, fault, noground, noline, phase, phase
64, 22, 0, 0, 0.5784, 1.0242, 1.0534, 0.1419, 0.9379, 0.9852, 1.077, 1.7709, 1.8213, 1.0285, 0.4459, 0.475, 0.0292, 545.1881, 547.108, 548.8119, 483.43, 107.54, 62.84, fault, ground, noline, nophase, ground
65, 5, 0, 0, 0.5759, 0.9708, 0.9785, 0.1419, 0.9417, 1.0242, 1.0343, 1.6858, 1.6992, 1.008, 0.3949, 0.4027, 0.0077, 239.0095, 239.655, 238.6494, 201.06, 27.2, 37.07, fault, ground, noline, nophase, ground
66, 22, 0, 0, 0.5784, 1.0242, 1.0534, 0.1419, 0.9357, 0.984, 1.0808, 1.7708, 1.8212, 1.0285, 0.4458, 0.475, 0.0291, 545.352, 547.3028, 549.0164, 483.61, 107.54, 62.9, fault, ground, noline, nophase, ground
67, 22, 0, 0, 0.5786, 1.025, 1.0534, 0.1418, 0.9348, 0.9842, 1.0816, 1.7716, 1.8207, 1.0278, 0.4464, 0.4749, 0.0284, 546.4063, 545.923, 549.2448, 483.58, 107.04, 62.94, fault, ground, noline, nophase, ground
68, 5, 0, 0, 0.5761, 0.9708, 0.9785, 0.1418, 0.9417, 1.0241, 1.0344, 1.6851, 1.6985, 1.0079, 0.3947, 0.4024, 0.0077, 238.9558, 239.6235, 238.8365, 201.1, 27.23, 37.06, fault, ground, noline, nophase, ground
69, 27, 0, 0, 0.7404, 0.7619, 0.7719, 0.1399, 0.988, 1.0043, 1.0077, 1.0289, 1.0425, 1.0132, 0.0214, 0.0315, 0.0101, 546.6041, 544.1931, 548.7436, 414.29, 6.24, 6.32, fault, noground, noline, phase, phase
70, 27, 0, 0, 0.7405, 0.7619, 0.7719, 0.1399, 0.9879, 1.0043, 1.0078, 1.0289, 1.0425, 1.0132, 0.0214, 0.0315, 0.0101, 546.4829, 544.0033, 548.56, 414.16, 6.25, 6.29, fault, noground, noline, phase, phase
71, 27, 0, 0, 0.7405, 0.7619, 0.7719, 0.1399, 0.9879, 1.0043, 1.0077, 1.029, 1.0424, 1.0131, 0.0215, 0.0314, 0.01, 546.5814, 545.7925, 548.7417, 414.7, 6.0, 6.42, fault, noground, noline, phase, phase
72, 27, 0, 0, 0.7405, 0.7619, 0.7719, 0.1399, 0.9879, 1.0044, 1.0077, 1.029, 1.0424, 1.0131, 0.0215, 0.0314, 0.01, 546.9372, 545.6391, 548.6274, 414.73, 5.81, 6.3, fault, noground, noline, phase, phase
73, 29, 0, 0, 0.5851, 0.9621, 0.9846, 0.139, 0.9864, 1.0057, 1.0078, 1.6443, 1.6827, 1.0233, 0.377, 0.3995, 0.0225, 551.2748, 551.7311, 547.8213, 464.11, 61.84, 79.81, fault, ground, noline, nophase, ground
74, 29, 0, 0, 0.5851, 0.9622, 0.9846, 0.139, 0.9801, 0.9941, 1.0257, 1.6444, 1.6827, 1.0233, 0.3771, 0.3995, 0.0224, 551.3106, 551.7873, 547.8749, 464.16, 61.86, 79.81, fault, ground, noline, nophase, ground
75, 29, 0, 0, 0.5856, 0.9621, 0.9845, 0.1388, 0.9814, 0.9932, 1.0254, 1.643, 1.6813, 1.0233, 0.3765, 0.3989, 0.0224, 550.5366, 551.3164, 546.3657, 463.41, 61.42, 79.7, fault, ground, noline, nophase, ground
76, 29, 0, 0, 0.5856, 0.9621, 0.9845, 0.1388, 0.9795, 0.9935, 1.027, 1.6429, 1.6812, 1.0233, 0.3765, 0.3989, 0.0224, 550.4892, 551.2314, 546.2883, 463.35, 61.38, 79.68, fault, ground, noline, nophase, ground
77, 7, 1, 1, 0.7452, 0.7691, 0.7759, 0.1368, 0.9929, 1.0005, 1.0067, 1.0321, 1.0411, 1.0088, 0.0239, 0.0306, 0.0067, 543.4935, 542.441, 540.9667, 413.97, 5.11, 4.87, fault, noground, noline, phase, phase
78, 7, 1, 0, 0.7452, 0.7691, 0.7759, 0.1368, 0.9928, 1.0005, 1.0067, 1.0321, 1.0411, 1.0088, 0.0239, 0.0307, 0.0067, 543.6379, 542.5982, 541.0543, 414.08, 5.13, 4.86, fault, noground, noline, phase, phase
79, 7, 1, 0, 0.7456, 0.769, 0.7759, 0.1368, 0.993, 1.0003, 1.0067, 1.0313, 1.0406, 1.009, 0.0233, 0.0303, 0.0069, 543.3965, 543.595, 539.8923, 414.01, 5.29, 4.44, fault, noground, noline, phase, phase
80, 7, 1, 0, 0.7456, 0.769, 0.7759, 0.1367, 0.9929, 1.0003, 1.0068, 1.0313, 1.0406, 1.0091, 0.0233, 0.0303, 0.007, 543.5395, 543.7805, 540.0066, 414.13, 5.32, 4.43, fault, noground, noline, phase, phase
81, 92, 0, 0, 0.5915, 0.9683, 0.9919, 0.1366, 0.9478, 1.0055, 1.047, 1.6371, 1.6771, 1.0244, 0.3768, 0.4005, 0.0236, 237.9357, 236.8664, 237.1906, 201.57, 24.98, 36.55, fault, ground, noline, nophase, ground
82, 92, 0, 0, 0.5916, 0.9683, 0.9919, 0.1366, 0.9488, 1.0055, 1.0458, 1.6368, 1.6767, 1.0244, 0.3767, 0.4003, 0.0236, 237.8084, 236.7286, 237.0582, 201.46, 24.94, 36.53, fault, ground, noline, nophase, ground
83, 92, 0, 0, 0.6093, 0.9648, 0.9889, 0.1308, 0.9588, 1.0109, 1.0304, 1.5834, 1.6229, 1.025, 0.3555, 0.3796, 0.0241, 539.7114, 536.0967, 537.8898, 459.04, 57.58, 74.06, fault, ground, noline, nophase, ground
84, 92, 0, 0, 0.6095, 0.9648, 0.9889, 0.1308, 0.9607, 1.0111, 1.0282, 1.5831, 1.6226, 1.025, 0.3554, 0.3794, 0.0241, 540.0778, 535.8775, 537.0385, 458.8, 57.29, 73.8, fault, ground, noline, nophase, ground
85, 7, 1, 0, 0.7566, 0.7795, 0.787, 0.1305, 0.9939, 0.9999, 1.0062, 1.0303, 1.0402, 1.0097, 0.0229, 0.0304, 0.0075, 543.3356, 542.5832, 539.5176, 419.52, 5.03, 4.38, fault, noground, noline, phase, phase
86, 7, 1, 0, 0.7567, 0.7796, 0.7871, 0.1304, 0.9939, 0.9999, 1.0062, 1.0303, 1.0402, 1.0095, 0.023, 0.0304, 0.0074, 543.2805, 542.0933, 540.4937, 419.69, 5.06, 4.6, fault, noground, noline, phase, phase
87, 29, 0, 0, 0.6314, 0.9511, 0.981, 0.1241, 0.9745, 0.9915, 1.0339, 1.5062, 1.5537, 1.0315, 0.3196, 0.3496, 0.03, 547.2176, 547.5795, 547.2264, 467.45, 50.02, 72.54, fault, ground, noline, nophase, ground
88, 29, 0, 0, 0.6315, 0.9512, 0.9811, 0.1241, 0.975, 0.9945, 1.0302, 1.5063, 1.5536, 1.0314, 0.3197, 0.3496, 0.0298, 550.1224, 547.8701, 547.0022, 468.12, 49.24, 72.1, fault, ground, noline, nophase, ground
89, 21, 0, 0, 0.6393, 1.0105, 1.0348, 0.1208, 0.9628, 0.9695, 1.0673, 1.5805, 1.6186, 1.0241, 0.3711, 0.3955, 0.0243, 547.7452, 546.8833, 545.388, 488.23, 85.14, 56.8, fault, ground, noline, nophase, ground
90, 38, 0, 1, 0.6495, 1.0053, 1.0397, 0.1176, 0.9493, 0.9627, 1.088, 1.5476, 1.6007, 1.0343, 0.3557, 0.3902, 0.0345, 543.5083, 539.0678, 539.334, 484.0, 83.67, 54.68, fault, ground, noline, nophase, ground
91, 25, 0, 0, 0.6745, 1.0348, 1.0532, 0.1105, 0.9292, 0.9992, 1.072, 1.5341, 1.5614, 1.0178, 0.3603, 0.3787, 0.0184, 538.849, 541.9582, 538.149, 495.8, 90.33, 44.29, fault, ground, noline, nophase, ground
