@relation  saggedV+AngleChange+NegSeq

@attribute v_sag_1 numeric
@attribute delta_v numeric
@attribute sub_phase_2_1 numeric
@attribute sub_phase_3_2 numeric
@attribute class {ground, line, phase, nofault}
@data
0.8872, 0.0387, 0.0933, 0.0001, ground
0.8854, 0.0386, 0.1009, 0.0052, ground
0.8854, 0.0386, 0.1016, 0.0042, ground
0.9313, 0.0386, 0.0006, 0.0048, phase
0.8895, 0.0385, 0.0807, 0.0138, ground
0.8895, 0.0385, 0.0805, 0.0139, ground
0.8895, 0.0385, 0.0805, 0.014, ground
0.8896, 0.0385, 0.0805, 0.014, ground
0.8877, 0.0385, 0.1308, 0.0002, ground
0.8877, 0.0384, 0.1309, 0.0, ground
0.888, 0.0382, 0.0917, 0.0073, ground
0.888, 0.0382, 0.0917, 0.0076, ground
0.8887, 0.0381, 0.0905, 0.0049, ground
0.8887, 0.0381, 0.0904, 0.005, ground
0.8866, 0.038, 0.1196, 0.0047, ground
0.8867, 0.038, 0.1194, 0.0049, ground
0.8947, 0.0377, 0.0678, 0.0206, ground
0.8947, 0.0377, 0.0677, 0.0206, ground
0.8905, 0.0374, 0.0915, 0.0009, ground
0.8905, 0.0374, 0.0915, 0.0009, ground
0.8905, 0.0374, 0.0915, 0.0009, ground
0.8906, 0.0374, 0.0914, 0.0009, ground
0.896, 0.0373, 0.0655, 0.023, ground
0.8963, 0.0373, 0.0648, 0.0238, ground
0.8938, 0.0371, 0.0803, 0.005, ground
0.8938, 0.0371, 0.0802, 0.005, ground
0.8896, 0.0371, 0.0981, 0.0061, ground
0.8896, 0.0371, 0.0982, 0.0061, ground
0.8897, 0.0371, 0.0982, 0.006, ground
0.8897, 0.0371, 0.0982, 0.0061, ground
0.9343, 0.0368, 0.0011, 0.0038, phase
0.9343, 0.0368, 0.0011, 0.0038, phase
0.9321, 0.0364, 0.0064, 0.0021, phase
0.8997, 0.0364, 0.058, 0.0347, ground
0.8937, 0.0364, 0.0827, 0.0172, ground
0.9321, 0.0364, 0.0064, 0.0022, phase
0.8937, 0.0364, 0.0826, 0.0171, ground
0.9322, 0.0364, 0.0064, 0.0021, phase
0.9322, 0.0363, 0.0065, 0.002, phase
0.8951, 0.0363, 0.083, 0.0019, ground
0.8951, 0.0363, 0.083, 0.0019, ground
0.8997, 0.0363, 0.0591, 0.031, ground
0.894, 0.0362, 0.0884, 0.0027, ground
0.894, 0.0362, 0.0884, 0.0027, ground
0.8931, 0.0361, 0.0931, 0.0019, ground
0.9339, 0.0361, 0.0049, 0.001, phase
0.8943, 0.0361, 0.0881, 0.0029, ground
0.8943, 0.0361, 0.0881, 0.003, ground
0.9339, 0.036, 0.0051, 0.001, phase
